Size,Householder,Givens,LU
2,2.22044604925e-16,0.0,0.0
3,3.88578058619e-16,4.4408920985e-16,5.55111512313e-17
4,1.16573417586e-15,8.881784197e-16,8.881784197e-16
5,2.83106871279e-15,5.10702591328e-15,2.49800180541e-15
6,1.65700786425e-14,4.02733402183e-14,6.38378239159e-15
7,1.38056233112e-13,6.8167693712e-14,3.31679128607e-14
8,3.4938718585e-13,4.43867165245e-13,2.27373675443e-13
9,1.76569869836e-12,2.26640928247e-12,2.02116101633e-13
10,7.52858886344e-12,9.09494701773e-12,2.18278173314e-12
11,3.8962111315e-11,1.55440937899e-11,5.72154823519e-11
12,4.02602992611e-10,2.72062594675e-10,1.11785164458e-10
